name,location,code
괴오름,제주도 제주시  ,491103304
괴화산,충청남도 연기군 금남면 ,447300201
교동,강원도 강릉시 교동 ,421500104
교래임도,제주도 제주시  ,491102903
교룡산,전라북도 남원시 대산면 ,451900501
구곡산,경상남도 산청군 삼장면 ,488600901
구나무산,경기도 가평군  ,418200801
구녀산,충청북도 청주시청원구 내수읍 ,431100301
구덕산,부산광역시 서구 서대신동 ,261400101
구뎅이산,강원도 정선군 정선읍 ,427709701
구룡골통골,강원도 삼척시  ,422305504
구룡령옛길,강원도 양양군 서면 ,428305204
구룡산,서울특별시 서초구 내곡동 ,116500101
구룡산,강원도 영월군 수주면 ,427500401
구룡산,강원도 영월군  ,427505101
구룡산,강원도 양양군 서면 ,428305701
구룡산,충청북도 청주시서원구  ,431100401
구룡산,충청북도 보은군 회북면 ,437200301
구룡산,충청남도 당진군  ,448300101
구룡산,전라남도 고흥군 동일면 ,467700101
구룡산,경상북도 영천시 북안면 ,472300201
구룡산,경상남도 창원시 동읍 ,481100101
구룡산산림욕장,충청북도 보은군  ,437202204
구룡산오무골,경상북도 봉화군  ,479204804
구르뫼산,충청남도 논산시  ,442303301
구름산,경기도 광명시  ,412100201
구마산,전라남도 보성군  ,467802101
구만산,경상북도 청도군 매전면 ,478200401
구미산,경상북도 경주시 건천읍 ,471300601
구병산,충청북도 보은군 내속리면 ,437200401
구봉대산,강원도 영월군  ,427500601
구봉산,인천광역시 옹진군 북도면 ,287200101
구봉산,대전광역시 서구 가수원동 ,301700101
구봉산,경기도 화성시 반월면 ,415900301
구봉산,강원도 춘천시 동면 ,421100401
구봉산,강원도 태백시 삼수동 ,421900301
구봉산,전라북도 진안군 정천면 ,457200201
구봉산,전라남도 여수시 화정면 ,461300401
구봉산,경상북도 의성군 의성읍 ,477300401
구봉산,경상남도 창원시마산회원구 내서읍 ,481101601
구봉산물통골,전라북도 진안군  ,457203604
구봉화산,전라남도 광양시 광양읍 ,462300301
구산근린공원,서울특별시 은평구  ,113800504
구성산,충청남도 천안시  ,441303901
구수산,충청남도 태안군 근흥면 ,448250101
구수산,전라남도 영광군 백수읍 ,468701801
구와산,광주광역시 동구  ,291102001
구인산,경상남도 산청군 산청읍 ,488601001
구절산,충청남도 공주시 금학동 ,441500701
구절산,충청남도 공주시 신풍면 ,441508401
구학산,충청북도 제천시 백운면 ,431500601
구현산,경상남도 창녕군 창녕읍 ,487400501
국망봉,경기도 가평군  ,418200901
국망봉,경상북도 안동시 도산면 ,471700501
국민의숲트레킹,강원도 평창군 대관령면 ,427600103
국사봉,인천광역시 중구 무의동 ,281100501
국사봉,인천광역시 옹진군 영흥면 ,287200201
국사봉,인천광역시 옹진군 자월면 ,287201201
국사봉,인천광역시 옹진군  ,287201501
국사봉,경기도 광주시 퇴촌면 ,416100401
국사봉,강원도 춘천시 퇴계동 ,421100601
국사봉,강원도 속초시 영랑동 ,422100101
국사봉,충청북도 청주시흥덕구  ,431105001
국사봉,충청북도 제천시  ,431504401
국사봉,충청북도 보은군 회남면 ,437200601
국사봉,충청북도 보은군 내북면 ,437201901
국사봉,충청북도 보은군 회인면 ,437202701
국사봉,충청남도 천안시  ,441304101
국사봉,충청남도 공주시 정안면 ,441500801
국사봉,충청남도 공주시  ,441504801
국사봉,충청남도 공주시  ,441504901
국사봉,충청남도 논산시  ,442303401
국사봉,충청남도 연기군 전의면 ,447300301
국사봉,충청남도 연기군  ,447302501
국사봉,충청남도 청양군 운곡면 ,447900201
국사봉,전라북도 군산시  ,451304501
국사봉,전라북도 진안군 성수면 ,457200301
국사봉,전라남도 순천시  ,461504701
국사봉,전라남도 광양시 광양읍 ,462300401
국사봉,전라남도 영암군 금정면 ,468300201
국사봉,경상남도 거제시 아주동 ,483106101
국사봉,경상남도 의령군 봉수면 ,487200601
국사봉,경상남도 거창군 웅양면 ,488800501
국사봉매봉,충청남도 공주시  ,441505001
국사봉시루봉,충청북도 보은군 탄부면 ,437202301
국수봉,충청북도 청주시상당구  ,431105301
국수봉,충청북도 옥천군  ,437302701
국수봉,충청남도 보령시  ,441803201
국수봉,전라남도 담양군 대덕면 ,467100401
국수산,인천광역시 강화군  ,287100201
국지산,강원도 영월군 남면 ,427500701
국통산,경상북도 군위군 효령면 ,477200101
군산,제주도 서귀포시 안덕면 ,491300201
군산남고뒷산,전라북도 군산시  ,451305204
군왕봉,광주광역시 북구 청풍동 ,291701701
군유산,전라남도 함평군 신광면 ,468600301
군자봉,경기도 시흥시  ,413900101
굴봉산,강원도 춘천시 남산면 ,421100701
굴암산,경상남도 김해시 장유면 ,482500401
궁대,제주도 제주시  ,491103404
궁동산,서울특별시 서대문구  ,114100601
궁산,서울특별시 강서구 가양제1동 ,115000201
궁산,대구광역시 달서구 신당동 ,272900101
귀래정,전라북도 순창군  ,457702404
귀목봉,경기도 가평군 북면 ,418204701
귓물오름,제주도 제주시  ,491100804
극락오름,제주도 제주시  ,491101903
극정봉,충청남도 공주시  ,441505101
근남면,강원도 철원군 근남면 ,427802104
근산,강원도 삼척시 성내동 ,422300801
금강산,전라남도 해남군 마산면 ,468200501
금강산화암사숲길,강원도 고성군  ,428204604
금강소나무숲길,경상북도 봉화군 춘양면 ,479204504
금강으로가는하늘숲길,강원도 고성군  ,428204704
금계산,대구광역시 달성군 논공면 ,277100201
금계산,충청남도 공주시 유구읍 ,441500901
금골산,전라남도 진도군 군내면 ,469000301
금골산사리암,전라남도 진도군  ,469002304
금귀봉,경상남도 거창군 남하면 ,488804401
금남산,경기도 남양주시 화도읍 ,413602701
금남정맥,충청남도 부여군  ,447600103
금남정맥안골산,충청남도 공주시  ,441500103
금남호남정맥,전라북도 장수군  ,457400104
